Date,F90d,Spot
1991-01,1.16637727,1.156013234
1991-02,1.164625,1.154885106
1991-03,1.16615,1.157150263
1991-04,1.16282273,1.153507644
1991-05,1.15817727,1.149850864
1991-06,1.15095,1.143892529
1991-07,1.15661364,1.149312998
1991-08,1.15299525,1.145142192
1991-09,1.14491001,1.136948907
1991-10,1.13563182,1.127933614
1991-11,1.137575,1.130138883
1991-12,1.153605,1.146564149
1992-01,1.16479091,1.15694811
1992-02,1.191555,1.182444017
1992-03,1.20188636,1.19282492
1992-04,1.19572381,1.187411538
1992-05,1.20636,1.199053707
1992-06,1.20142727,1.196036336
1992-07,1.19750909,1.192382583
1992-08,1.195555,1.190729929
1992-09,1.22853333,1.222220457
1992-10,1.25671905,1.245288141
1992-11,1.27942,1.267245629
1992-12,1.28488095,1.272431375
1993-01,1.288515,1.277893214
1993-02,1.268845,1.260207682
1993-03,1.25359565,1.247064721
1993-04,1.2684381,1.262035082
1993-05,1.27603,1.26978806
1993-06,1.28334091,1.278913026
1993-07,1.28521429,1.281955957
1993-08,1.31319524,1.307881951
1993-09,1.3265619,1.321452594
1993-10,1.3305,1.326226527
1993-11,1.32043333,1.317323462
1993-12,1.33280952,1.330737508
1994-01,1.319075,1.317231496
1994-02,1.343095,1.342379179
1994-03,1.36638261,1.36437933
1994-04,1.38876,1.382953713
1994-05,1.38660952,1.380828304
1994-06,1.39019091,1.383602375
1994-07,1.387205,1.38256366
1994-08,1.38005909,1.37828756
1994-09,1.35492381,1.353931139
1994-10,1.349585,1.350260195
1994-11,1.3643381,1.364612061
1994-12,1.38947,1.389174441
1995-01,1.41761429,1.413189866
1995-02,1.406555,1.400469998
1995-03,1.41423478,1.407659639
1995-04,1.38209474,1.376085559
1995-05,1.36539545,1.360846011
1995-06,1.38059091,1.377501543
1995-07,1.36341,1.361147938
1995-08,1.35731364,1.355173306
1995-09,1.353495,1.350876719
1995-10,1.34796667,1.345668629
1995-11,1.35364286,1.353359444
1995-12,1.36994737,1.369270288
1996-01,1.3666909,1.366818566
1996-02,1.37539047,1.375209376
1996-03,1.36479048,1.36558667
1996-04,1.35757619,1.359179491
1996-05,1.36683182,1.369238416
1996-06,1.3631,1.365795562
1996-07,1.36629545,1.369722289
1996-08,1.36761429,1.372235289
1996-09,1.36403,1.369379041
1996-10,1.3439,1.350807378
1996-11,1.33013,1.338039665
1996-12,1.353825,1.362128735
1997-01,1.34069091,1.349354671
1997-02,1.347345,1.355540705
1997-03,1.363555,1.372446221
1997-04,1.38593182,1.394145981
1997-05,1.37180476,1.380368945
1997-06,1.37528095,1.38424973
1997-07,1.36965,1.377512928
1997-08,1.383215,1.39052082
1997-09,1.37975714,1.387153021
1997-10,1.37985909,1.386802906
1997-11,1.40677368,1.412786566
1997-12,1.42196667,1.427062819
1998-01,1.43722857,1.440851601
1998-02,1.431595,1.433338302
1998-03,1.41330455,1.416563021
1998-04,1.42709524,1.42973973
1998-05,1.442535,1.445174418
1998-06,1.46289091,1.465480604
1998-07,1.48525455,1.486774398
1998-08,1.533855,1.534365962
1998-09,1.52167143,1.521653124
1998-10,1.54509524,1.545150853
1998-11,1.538765,1.540307538
1998-12,1.54127143,1.543247981
1999-01,1.51918,1.519147333
1999-02,1.497445,1.497037363
1999-03,1.5176913,1.517480618
1999-04,1.48641905,1.487302895
1999-05,1.46067,1.461849386
1999-06,1.46769545,1.468957261
1999-07,1.4869381,1.488325574
1999-08,1.4903381,1.492388075
1999-09,1.47416667,1.476795118
1999-10,1.473565,1.477456234
1999-11,1.46393333,1.467603389
1999-12,1.46961429,1.473070793
2000-01,1.445935,1.449069552
2000-02,1.44809048,1.451418834
2000-03,1.45752174,1.459932872
2000-04,1.46531579,1.467114626
2000-05,1.49216364,1.493585052
2000-06,1.47362727,1.477288172
2000-07,1.47457,1.477294719
2000-08,1.47926818,1.482083097
2000-09,1.483095,1.483785195
2000-10,1.50884762,1.511087605
2000-11,1.53890476,1.54236015
2000-12,1.51955789,1.523565753
2001-01,1.50225455,1.502765088
2001-02,1.52133,1.521382267
2001-03,1.55778182,1.557351008
2001-04,1.55747,1.560201141
2001-05,1.54294091,1.541038629
2001-06,1.52682381,1.525490178
2001-07,1.53264286,1.528208435
2001-08,1.54219091,1.538149176
2001-09,1.56996842,1.565533221
2001-10,1.57330909,1.57030244
2001-11,1.59346667,1.593462977
2001-12,1.57838421,1.577869434
2002-01,1.60123182,1.599795226
2002-02,1.596795,1.595440868
2002-03,1.58825,1.587215928
2002-04,1.58333182,1.582476291
2002-05,1.55259545,1.550507791
2002-06,1.535375,1.531632812
2002-07,1.55008636,1.541259517
2002-08,1.57255714,1.569750284
2002-09,1.58042,1.573541838
2002-10,1.58234545,1.579008036
2002-11,1.577,1.57255452
2002-12,1.564935,1.560140288
2003-01,1.54690455,1.54234112
2003-02,1.518455,1.513660789
2003-03,1.48320952,1.477244525
2003-04,1.4659619,1.457292584
2003-05,1.39192857,1.386908691
2003-06,1.35978095,1.351258224
2003-07,1.38846818,1.376081772
2003-08,1.40202,1.397202242
2003-09,1.3689381,1.366452498
