Date,Days,STIR,LSR,SSR,d1,d2,d3,d4,d5
27/10/1997,Monday,,,,1,0,0,0,0
28/10/1997,Tuesday,-0.096718799,-0.088550397,-0.091322524,0,1,0,0,0
29/10/1997,Wednesday,0.066769095,0.05313934,0.03066018,0,0,1,0,0
30/10/1997,Thursday,0,0,0,0,0,0,1,0
31/10/1997,Friday,0.020107813,0.00222491,0.015985781,0,0,0,0,1
3/11/1997,Monday,0.069216173,0.057975565,0.093426208,1,0,0,0,0
4/11/1997,Tuesday,-0.001592056,0.003858144,-0.009744166,0,1,0,0,0
5/11/1997,Wednesday,0.003892031,0.00976306,-0.029868976,0,0,1,0,0
6/11/1997,Thursday,-0.000413852,-0.005668235,-0.003814517,0,0,0,1,0
7/11/1997,Friday,-0.022637855,-0.026350435,-0.014014803,0,0,0,0,1
10/11/1997,Monday,-0.017570371,0.000687893,-0.022599117,1,0,0,0,0
11/11/1997,Tuesday,0.009989748,0.009769837,-0.001417887,0,1,0,0,0
12/11/1997,Wednesday,-0.00564497,-0.004190605,-0.011523468,0,0,1,0,0
13/11/1997,Thursday,-0.003791808,-0.002842125,-0.011119801,0,0,0,1,0
14/11/1997,Friday,0.006503327,0.01425923,-0.002503467,0,0,0,0,1
17/11/1997,Monday,0.011865563,0.013695935,0.002206508,1,0,0,0,0
18/11/1997,Tuesday,-0.007042684,-0.011125509,-0.001391335,0,1,0,0,0
19/11/1997,Wednesday,-0.015584232,-0.01477712,-0.021171712,0,0,1,0,0
20/11/1997,Thursday,-0.011550839,-0.003198558,-0.023550095,0,0,0,1,0
21/11/1997,Friday,0.008712839,0.011077851,-0.01643591,0,0,0,0,1
24/11/1997,Monday,0.019006786,0.015035154,-0.021014387,1,0,0,0,0
25/11/1997,Tuesday,-0.019537784,-0.013438965,-0.014279453,0,1,0,0,0
26/11/1997,Wednesday,0.010239844,0.004171621,-0.001520864,0,0,1,0,0
27/11/1997,Thursday,0.01451201,0.011724663,-0.01177985,0,0,0,1,0
28/11/1997,Friday,0.000789558,-0.006701283,0.03841486,0,0,0,0,1
1/12/1997,Monday,0.003762353,-0.001700484,-0.015981487,1,0,0,0,0
2/12/1997,Tuesday,0.020101555,0.018480224,0.024623647,0,1,0,0,0
