Date,Cons
1/1/1990,24142
1/4/1990,24140
1/7/1990,24150
1/10/1990,23882
1/1/1991,23719
1/4/1991,23839
1/7/1991,23873
1/10/1991,23780
1/1/1992,24154
1/4/1992,24237
1/7/1992,24407
1/10/1992,24612
1/1/1993,24634
1/4/1993,24783
1/7/1993,24973
1/10/1993,25112
1/1/1994,25331
1/4/1994,25454
1/7/1994,25565
1/10/1994,25763
1/1/1995,25758
1/4/1995,25910
1/7/1995,26061
1/10/1995,26162
1/1/1996,26338
1/4/1996,26546
1/7/1996,26620
1/10/1996,26746
1/1/1997,26957
1/4/1997,27001
1/7/1997,27370
1/10/1997,27611
1/1/1998,27819
1/4/1998,28231
1/7/1998,28510
1/10/1998,28835
1/1/1999,29058
1/4/1999,29422
1/7/1999,29658
1/10/1999,30002
1/1/2000,30379
1/4/2000,30586
1/7/2000,30796
1/10/2000,30983
1/1/2001,31024
1/4/2001,31013
1/7/2001,31040
1/10/2001,31461
1/1/2002,31462
1/4/2002,31551
1/7/2002,31691
1/10/2002,31790
1/1/2003,31880
1/4/2003,32174
1/7/2003,32548
1/10/2003,32694
1/1/2004,32934
1/4/2004,33042
1/7/2004,33347
1/10/2004,33641
1/1/2005,33783
1/4/2005,34084
1/7/2005,34280
1/10/2005,34257
1/1/2006,34555
1/4/2006,34656
1/7/2006,34788
1/10/2006,35030
1/1/2007,35169
1/4/2007,35182
1/7/2007,35325
1/10/2007,35375
1/1/2008,35249
1/4/2008,35269
1/7/2008,34912
1/10/2008,34517
1/1/2009,34359
1/4/2009,34120
1/7/2009,34271
1/10/2009,34154
1/1/2010,34283
