Date,CSI_Price,STI_Price,3mT_rate,CSI_Ret,STI_Ret
2/7/2001,4.62,1706.62,2,0.013072082,-0.011581432
3/7/2001,4.6,1703.27,2,-0.004338402,-0.001964873
4/7/2001,4.52,1693.71,2.01,-0.01754431,-0.005628544
5/7/2001,4.52,1688.02,2.03,0,-0.003365145
6/7/2001,4.38,1660.76,2.04,-0.031463269,-0.016280916
9/7/2001,4.56,1654.58,2.05,0.040273899,-0.003728129
10/7/2001,4.56,1680.34,2,0,0.015448954
11/7/2001,4.38,1661.39,1.97,-0.040273899,-0.011341553
12/7/2001,4.4,1672.81,1.89,0.004555817,0.006850246
13/7/2001,4.36,1656.94,1.85,-0.009132484,-0.009532319
16/7/2001,4.26,1660.56,1.87,-0.023202897,0.002182367
17/7/2001,4.26,1638.78,1.97,0,-0.013202832
18/7/2001,4.12,1627.82,2.06,-0.033415997,-0.006710366
19/7/2001,4.22,1626.84,2.09,0.023981965,-0.000602213
20/7/2001,4.12,1638.08,2.04,-0.023981965,0.006885341
23/7/2001,4.14,1627.39,2.12,0.004842624,-0.00654732
24/7/2001,4.32,1630.85,2.07,0.042559614,0.002123847
25/7/2001,4.34,1632.51,2.1,0.004618946,0.001017356
26/7/2001,4.34,1639.36,2.09,0,0.004187214
27/7/2001,4.5,1640.4,2.09,0.036203049,0.000634193
30/7/2001,4.62,1657.56,2.08,0.026317308,0.010406527
31/7/2001,4.66,1666.03,2.13,0.008620743,0.005096909
1/8/2001,5.05,1684.83,2.25,0.080372795,0.011221118
2/8/2001,5.2,1670.08,2.25,0.029270382,-0.008793139
3/8/2001,5.1,1649.36,2.23,-0.019418086,-0.012484196
6/8/2001,5.05,1658.21,2.24,-0.009852296,0.005351373
7/8/2001,4.9,1657.11,2.23,-0.030153038,-0.000663586
8/8/2001,4.84,1641.91,2.15,-0.012320484,-0.009214923
10/8/2001,4.92,1641.43,2.09,0.01639381,-0.000292385
13/8/2001,4.82,1626.14,2.04,-0.020534602,-0.009358705
14/8/2001,5.05,1647.45,2.07,0.046614315,0.01301953
15/8/2001,4.98,1644.69,2.14,-0.013958352,-0.001676721
16/8/2001,4.8,1634.1,2.16,-0.036813973,-0.006459723
17/8/2001,4.82,1636.19,2.15,0.00415801,0.001278174
20/8/2001,4.7,1626.92,2.17,-0.025211419,-0.005681712
21/8/2001,4.76,1631.64,2.17,0.01268516,0.002896987
22/8/2001,4.82,1632.4,2.17,0.01252626,0.000465681
23/8/2001,4.76,1635.39,2.18,-0.01252626,0.001829983
24/8/2001,4.74,1624.61,2.18,-0.004210533,-0.006613521
27/8/2001,4.78,1644.95,2.16,0.008403411,0.012442202
28/8/2001,4.78,1640.65,2.12,0,-0.002617484
29/8/2001,4.72,1634.83,2.07,-0.012631747,-0.003553681
30/8/2001,4.68,1615.74,2.08,-0.00851069,-0.011745767
31/8/2001,4.62,1619.12,2.07,-0.012903405,0.002089736
3/9/2001,4.64,1615.51,2.06,0.004319661,-0.002232095
4/9/2001,4.84,1620.55,2.05,0.042200354,0.003114902
5/9/2001,4.66,1622.52,2.07,-0.037899273,0.001214898
6/9/2001,4.5,1608,2.1,-0.034938051,-0.008989325
7/9/2001,4.2,1576.95,2.1,-0.068992871,-0.019498569
10/9/2001,4.1,1558.45,2.08,-0.024097552,-0.011800864
11/9/2001,4.08,1566.76,2.06,-0.004889985,0.005318055
12/9/2001,3.72,1450.45,2.02,-0.09237332,-0.07713594
13/9/2001,3.7,1438.67,1.99,-0.005390849,-0.008154777
14/9/2001,3.58,1400.3,1.9,-0.032970019,-0.027032576
17/9/2001,3.42,1334.45,1.84,-0.045722249,-0.048167277
18/9/2001,3.4,1324.3,1.79,-0.005865119,-0.007635204
19/9/2001,3.56,1342.16,1.77,0.045985113,0.013396239
20/9/2001,3.4,1313.47,1.63,-0.045985113,-0.021607766
21/9/2001,3.14,1241.29,1.67,-0.079552632,-0.056521329
24/9/2001,3.16,1284.68,1.58,0.006349228,0.034358499
25/9/2001,3.06,1281.52,1.65,-0.032157112,-0.002462787
26/9/2001,3.02,1277.71,1.65,-0.013158085,-0.00297746
27/9/2001,3.02,1310.87,1.62,0,0.025621626
28/9/2001,3.1,1319.53,1.55,0.02614528,0.006584574
