Date ,Day,index level,contcpdret,d1,d2,d3,d4,d5
11/7/1994,Monday,1763.15,,1,0,0,0,0
12/7/1994,Tuesday,1777.27,0.007976497,0,1,0,0,0
13/7/1994,Wednesday,1796.27,0.010633814,0,0,1,0,0
14/7/1994,Thursday,1815.75,0.010786313,0,0,0,1,0
15/7/1994,Friday,1826.39,0.005842735,0,0,0,0,1
18/7/1994,Monday,1830.93,0.002482694,1,0,0,0,0
19/7/1994,Tuesday,1835.27,0.002367575,0,1,0,0,0
20/7/1994,Wednesday,1857.62,0.012104489,0,0,1,0,0
21/7/1994,Thursday,1838.83,-0.010166599,0,0,0,1,0
22/7/1994,Friday,1832.18,-0.003622985,0,0,0,0,1
25/7/1994,Monday,1848.22,0.008716499,1,0,0,0,0
26/7/1994,Tuesday,1848.35,7.03E-05,0,1,0,0,0
27/7/1994,Wednesday,1845.65,-0.00146183,0,0,1,0,0
28/7/1994,Thursday,1845.27,-0.000205911,0,0,0,1,0
29/7/1994,Friday,1853.95,0.00469289,0,0,0,0,1
1/8/1994,Monday,1882.05,0.01504311,1,0,0,0,0
2/8/1994,Tuesday,1911.24,0.015390638,0,1,0,0,0
3/8/1994,Wednesday,1909.97,-0.000664711,0,0,1,0,0
4/8/1994,Thursday,1906.22,-0.001965312,0,0,0,1,0
5/8/1994,Friday,1905.04,-0.000619218,0,0,0,0,1
8/8/1994,Monday,1889.47,-0.008206639,1,0,0,0,0
9/8/1994,Tuesday,1889.47,0,0,1,0,0,0
10/8/1994,Wednesday,1890.16,0.000365115,0,0,1,0,0
11/8/1994,Thursday,1910.42,0.010661632,0,0,0,1,0
12/8/1994,Friday,1916.2,0.003020945,0,0,0,0,1
15/8/1994,Monday,1903.88,-0.006450149,1,0,0,0,0
16/8/1994,Tuesday,1904.96,0.000567102,0,1,0,0,0
17/8/1994,Wednesday,1927.85,0.011944381,0,0,1,0,0
18/8/1994,Thursday,1938.28,0.00539559,0,0,0,1,0
19/8/1994,Friday,1930.04,-0.004260254,0,0,0,0,1
22/8/1994,Monday,1906.33,-0.0123608,1,0,0,0,0
23/8/1994,Tuesday,1895.5,-0.005697272,0,1,0,0,0
24/8/1994,Wednesday,1887.87,-0.004033447,0,0,1,0,0
25/8/1994,Thursday,1894.41,0.003458235,0,0,0,1,0
26/8/1994,Friday,1901.07,0.003509441,0,0,0,0,1
29/8/1994,Monday,1907.94,0.00360724,1,0,0,0,0
30/8/1994,Tuesday,1902.1,-0.003065587,0,1,0,0,0
31/8/1994,Wednesday,1913.87,0.006168831,0,0,1,0,0
1/9/1994,Thursday,1925.03,0.005814182,0,0,0,1,0
2/9/1994,Friday,1925.51,0.000249316,0,0,0,0,1
5/9/1994,Monday,1928.98,0.001800498,1,0,0,0,0
6/9/1994,Tuesday,1936.02,0.003642954,0,1,0,0,0
7/9/1994,Wednesday,1930.69,-0.002756867,0,0,1,0,0
8/9/1994,Thursday,1912.34,-0.009549829,0,0,0,1,0
9/9/1994,Friday,1899.25,-0.006868552,0,0,0,0,1
12/9/1994,Monday,1885.57,-0.007228909,1,0,0,0,0
13/9/1994,Tuesday,1898.07,0.006607418,0,1,0,0,0
14/9/1994,Wednesday,1900.89,0.001484617,0,0,1,0,0
15/9/1994,Thursday,1889.06,-0.006242847,0,0,0,1,0
16/9/1994,Friday,1904.67,0.008229414,0,0,0,0,1
19/9/1994,Monday,1894.4,-0.0054066,1,0,0,0,0
20/9/1994,Tuesday,1906.94,0.006597697,0,1,0,0,0
21/9/1994,Wednesday,1899.15,-0.004093445,0,0,1,0,0
22/9/1994,Thursday,1893.68,-0.002884392,0,0,0,1,0
23/9/1994,Friday,1906.77,0.006888685,0,0,0,0,1
26/9/1994,Monday,1901.78,-0.002620421,1,0,0,0,0
27/9/1994,Tuesday,1894.94,-0.003603114,0,1,0,0,0
28/9/1994,Wednesday,1928.17,0.017384191,0,0,1,0,0
29/9/1994,Thursday,1947.72,0.010088091,0,0,0,1,0
30/9/1994,Friday,1932.72,-0.007731121,0,0,0,0,1
3/10/1994,Monday,1954.34,0.011124203,1,0,0,0,0
4/10/1994,Tuesday,1972.77,0.009386106,0,1,0,0,0
5/10/1994,Wednesday,1981.95,0.004642562,0,0,1,0,0
6/10/1994,Thursday,1955.87,-0.013246101,0,0,0,1,0
7/10/1994,Friday,1946.18,-0.00496663,0,0,0,0,1
10/10/1994,Monday,1918.87,-0.014132006,1,0,0,0,0
11/10/1994,Tuesday,1956.4,0.019369579,0,1,0,0,0
12/10/1994,Wednesday,1977.52,0.010737485,0,0,1,0,0
13/10/1994,Thursday,1966.95,-0.005359415,0,0,0,1,0
14/10/1994,Friday,1984.33,0.008797206,0,0,0,0,1
17/10/1994,Monday,1986.79,0.001238945,1,0,0,0,0
18/10/1994,Tuesday,1983.1,-0.001858994,0,1,0,0,0
19/10/1994,Wednesday,1969.91,-0.00667342,0,0,1,0,0
20/10/1994,Thursday,1984.08,0.007167474,0,0,0,1,0
21/10/1994,Friday,1987.24,0.001591411,0,0,0,0,1
24/10/1994,Monday,1998,0.005399939,1,0,0,0,0
25/10/1994,Tuesday,1985.46,-0.006296055,0,1,0,0,0
26/10/1994,Wednesday,1986.29,0.000417952,0,0,1,0,0
27/10/1994,Thursday,1973.66,-0.00637889,0,0,0,1,0
28/10/1994,Friday,1976.46,0.001417679,0,0,0,0,1
31/10/1994,Monday,1994.59,0.00913115,1,0,0,0,0
1/11/1994,Tuesday,1980.05,-0.007316419,0,1,0,0,0
2/11/1994,Wednesday,1980.05,0,0,0,1,0,0
3/11/1994,Thursday,1966.49,-0.006871869,0,0,0,1,0
4/11/1994,Friday,1968.76,0.001153675,0,0,0,0,1
7/11/1994,Monday,1952.55,-0.008267692,1,0,0,0,0
8/11/1994,Tuesday,1950.1,-0.001255557,0,1,0,0,0
9/11/1994,Wednesday,1971.81,0.011071249,0,0,1,0,0
10/11/1994,Thursday,1955.41,-0.008352013,0,0,0,1,0
11/11/1994,Friday,1938.98,-0.008437829,0,0,0,0,1
14/11/1994,Monday,1946.39,0.003814313,1,0,0,0,0
15/11/1994,Tuesday,1959.56,0.006743583,0,1,0,0,0
16/11/1994,Wednesday,1962.49,0.001494117,0,0,1,0,0
17/11/1994,Thursday,1974.82,0.00626318,0,0,0,1,0
18/11/1994,Friday,1959.06,-0.008012489,0,0,0,0,1
21/11/1994,Monday,1938.44,-0.01058124,1,0,0,0,0
22/11/1994,Tuesday,1889.16,-0.02575124,0,1,0,0,0
23/11/1994,Wednesday,1842.52,-0.024998086,0,0,1,0,0
24/11/1994,Thursday,1855.57,0.007057727,0,0,0,1,0
25/11/1994,Friday,1861.82,0.003362577,0,0,0,0,1
28/11/1994,Monday,1861.21,-0.00032769,1,0,0,0,0
29/11/1994,Tuesday,1856.35,-0.00261462,0,1,0,0,0
30/11/1994,Wednesday,1866.47,0.005436752,0,0,1,0,0
1/12/1994,Thursday,1854.1,-0.006649543,0,0,0,1,0
2/12/1994,Friday,1815.76,-0.02089529,0,0,0,0,1
5/12/1994,Monday,1821.68,0.003255039,1,0,0,0,0
6/12/1994,Tuesday,1817.31,-0.002401766,0,1,0,0,0
7/12/1994,Wednesday,1808.58,-0.004815379,0,0,1,0,0
8/12/1994,Thursday,1784.34,-0.013493408,0,0,0,1,0
9/12/1994,Friday,1748.84,-0.020095888,0,0,0,0,1
12/12/1994,Monday,1740.79,-0.004613678,1,0,0,0,0
13/12/1994,Tuesday,1735.63,-0.002968573,0,1,0,0,0
14/12/1994,Wednesday,1769.05,0.019072219,0,0,1,0,0
15/12/1994,Thursday,1816.39,0.026408335,0,0,0,1,0
16/12/1994,Friday,1810.91,-0.003021533,0,0,0,0,1
19/12/1994,Monday,1831.25,0.011169312,1,0,0,0,0
20/12/1994,Tuesday,1827.22,-0.002203108,0,1,0,0,0
21/12/1994,Wednesday,1852.17,0.013562239,0,0,1,0,0
22/12/1994,Thursday,1865.45,0.007144386,0,0,0,1,0
23/12/1994,Friday,1864.54,-0.000487937,0,0,0,0,1
26/12/1994,Monday,1864.54,0,1,0,0,0,0
27/12/1994,Tuesday,1863.92,-0.000332577,0,1,0,0,0
28/12/1994,Wednesday,1859.22,-0.002524752,0,0,1,0,0
29/12/1994,Thursday,1860.63,0.000758095,0,0,0,1,0
30/12/1994,Friday,1853.98,-0.00358046,0,0,0,0,1
2/1/1995,Monday,1853.98,0,1,0,0,0,0
3/1/1995,Tuesday,1857.83,0.00207446,0,1,0,0,0
4/1/1995,Wednesday,1860.16,0.001253366,0,0,1,0,0
5/1/1995,Thursday,1862.17,0.001079969,0,0,0,1,0
6/1/1995,Friday,1842.53,-0.010602847,0,0,0,0,1
9/1/1995,Monday,1812.78,-0.016278049,1,0,0,0,0
10/1/1995,Tuesday,1783.47,-0.016300674,0,1,0,0,0
11/1/1995,Wednesday,1783.95,0.000269102,0,0,1,0,0
12/1/1995,Thursday,1738.27,-0.025939641,0,0,0,1,0
13/1/1995,Friday,1716.29,-0.012725381,0,0,0,0,1
16/1/1995,Monday,1741.68,0.01468518,1,0,0,0,0
17/1/1995,Tuesday,1750.58,0.005096997,0,1,0,0,0
18/1/1995,Wednesday,1729.78,-0.011952929,0,0,1,0,0
19/1/1995,Thursday,1711.65,-0.010536415,0,0,0,1,0
20/1/1995,Friday,1666.06,-0.02699626,0,0,0,0,1
23/1/1995,Monday,1584.51,-0.050186346,1,0,0,0,0
24/1/1995,Tuesday,1587.72,0.002023814,0,1,0,0,0
25/1/1995,Wednesday,1623.28,0.022149769,0,0,1,0,0
26/1/1995,Thursday,1652.59,0.017894961,0,0,0,1,0
27/1/1995,Friday,1670.28,0.010647523,0,0,0,0,1
30/1/1995,Monday,1706.17,0.021259815,1,0,0,0,0
31/1/1995,Tuesday,1706.17,0,0,1,0,0,0
1/2/1995,Wednesday,1706.17,0,0,0,1,0,0
2/2/1995,Thursday,1730.99,0.014442407,0,0,0,1,0
3/2/1995,Friday,1740.04,0.005214602,0,0,0,0,1
6/2/1995,Monday,1762.58,0.012870543,1,0,0,0,0
7/2/1995,Tuesday,1749.75,-0.007305724,0,1,0,0,0
8/2/1995,Wednesday,1730.15,-0.011264811,0,0,1,0,0
9/2/1995,Thursday,1724.02,-0.003549337,0,0,0,1,0
10/2/1995,Friday,1716.47,-0.004388917,0,0,0,0,1
13/2/1995,Monday,1733.76,0.010022604,1,0,0,0,0
14/2/1995,Tuesday,1725.86,-0.004566984,0,1,0,0,0
15/2/1995,Wednesday,1744.91,0.010977501,0,0,1,0,0
16/2/1995,Thursday,1757.34,0.007098324,0,0,0,1,0
17/2/1995,Friday,1754.77,-0.001463508,0,0,0,0,1
20/2/1995,Monday,1744.67,-0.005772368,1,0,0,0,0
21/2/1995,Tuesday,1736.43,-0.004734145,0,1,0,0,0
22/2/1995,Wednesday,1717.1,-0.01119446,0,0,1,0,0
23/2/1995,Thursday,1730.34,0.0076811,0,0,0,1,0
24/2/1995,Friday,1755.49,0.014430099,0,0,0,0,1
27/2/1995,Monday,1734.58,-0.011982711,1,0,0,0,0
28/2/1995,Tuesday,1772.96,0.021885157,0,1,0,0,0
1/3/1995,Wednesday,1760.34,-0.007143494,0,0,1,0,0
2/3/1995,Thursday,1758.1,-0.001273292,0,0,0,1,0
3/3/1995,Friday,1758.1,0,0,0,0,0,1
6/3/1995,Monday,1746.75,-0.006476762,1,0,0,0,0
7/3/1995,Tuesday,1746.84,5.15E-05,0,1,0,0,0
8/3/1995,Wednesday,1709.52,-0.021595812,0,0,1,0,0
9/3/1995,Thursday,1724.26,0.008585344,0,0,0,1,0
10/3/1995,Friday,1715.84,-0.004895216,0,0,0,0,1
13/3/1995,Monday,1711.09,-0.002772162,1,0,0,0,0
14/3/1995,Tuesday,1694.59,-0.009689771,0,1,0,0,0
15/3/1995,Wednesday,1716.53,0.012863988,0,0,1,0,0
16/3/1995,Thursday,1714.69,-0.001072505,0,0,0,1,0
17/3/1995,Friday,1732.2,0.010159971,0,0,0,0,1
20/3/1995,Monday,1736.64,0.002559935,1,0,0,0,0
21/3/1995,Tuesday,1733.99,-0.001527101,0,1,0,0,0
22/3/1995,Wednesday,1724.59,-0.00543577,0,0,1,0,0
23/3/1995,Thursday,1731.08,0.00375615,0,0,0,1,0
24/3/1995,Friday,1719.9,-0.006479342,0,0,0,0,1
27/3/1995,Monday,1733.31,0.007766726,1,0,0,0,0
28/3/1995,Tuesday,1748.95,0.008982733,0,1,0,0,0
29/3/1995,Wednesday,1754.59,0.003219604,0,0,1,0,0
