Date,4 WEEKS BANK DISCOUNT
1/4/2021,0.09
1/5/2021,0.08
1/6/2021,0.09
1/7/2021,0.09
1/8/2021,0.08
1/11/2021,0.09
1/12/2021,0.09
01/13/2021,0.09
01/14/2021,0.09
01/15/2021,0.08
01/19/2021,0.07
01/20/2021,0.08
01/21/2021,0.07
01/22/2021,0.07
01/25/2021,0.07
01/26/2021,0.05
01/27/2021,0.05
01/28/2021,0.05
01/29/2021,0.07
2/1/2021,0.06
2/2/2021,0.04
2/3/2021,0.03
2/4/2021,0.03
2/5/2021,0.02
2/8/2021,0.04
2/9/2021,0.04
2/10/2021,0.05
2/11/2021,0.05
2/12/2021,0.03
02/16/2021,0.03
02/17/2021,0.03
02/18/2021,0.03
02/19/2021,0.03
02/22/2021,0.03
02/23/2021,0.03
02/24/2021,0.03
02/25/2021,0.04
02/26/2021,0.04
3/1/2021,0.03
3/2/2021,0.04
3/3/2021,0.04
3/4/2021,0.03
3/5/2021,0.04
3/8/2021,0.04
3/9/2021,0.04
3/10/2021,0.03
3/11/2021,0.04
3/12/2021,0.03
03/15/2021,0.02
03/16/2021,0.01
03/17/2021,0.01
03/18/2021,0.01
03/19/2021,0.01
03/22/2021,0.02
03/23/2021,0.02
03/24/2021,0.02
03/25/2021,0.02
03/26/2021,0.02
03/29/2021,0.02
03/30/2021,0.01
03/31/2021,0.01
4/1/2021,0.02
4/2/2021,0.02
4/5/2021,0.03
4/6/2021,0.02
4/7/2021,0.01
4/8/2021,0.02
4/9/2021,0.02
4/12/2021,0.02
04/13/2021,0.03
04/14/2021,0.02
04/15/2021,0.02
04/16/2021,0.02
04/19/2021,0.01
04/20/2021,0.01
04/21/2021,0
04/22/2021,0.02
04/23/2021,0.01
04/26/2021,0.02
04/27/2021,0.01
04/28/2021,0.01
04/29/2021,0.01
04/30/2021,0.01
5/3/2021,0.02
5/4/2021,0.01
5/5/2021,0.01
5/6/2021,0.01
5/7/2021,0.01
5/10/2021,0.02
5/11/2021,0.01
5/12/2021,0.01
05/13/2021,0
05/14/2021,0.01
05/17/2021,0
05/18/2021,0
05/19/2021,0
05/20/2021,0.01
05/21/2021,0
05/24/2021,0.01
05/25/2021,0.01
05/26/2021,0
05/27/2021,0
05/28/2021,0.01
6/1/2021,0.01
6/2/2021,0.01
6/3/2021,0
6/4/2021,0.01
6/7/2021,0.01
6/8/2021,0.01
6/9/2021,0.01
6/10/2021,0.01
6/11/2021,0.01
06/14/2021,0.01
06/15/2021,0.02
06/16/2021,0.04
06/17/2021,0.05
06/18/2021,0.05
06/21/2021,0.04
06/22/2021,0.04
06/23/2021,0.04
06/24/2021,0.05
06/25/2021,0.05
06/28/2021,0.04
06/29/2021,0.04
06/30/2021,0.05
7/1/2021,0.05
7/2/2021,0.05
7/6/2021,0.05
7/7/2021,0.05
7/8/2021,0.06
7/9/2021,0.06
7/12/2021,0.05
07/13/2021,0.05
07/14/2021,0.06
07/15/2021,0.05
07/16/2021,0.05
07/19/2021,0.05
07/20/2021,0.05
07/21/2021,0.04
07/22/2021,0.04
07/23/2021,0.05
07/26/2021,0.05
07/27/2021,0.04
07/28/2021,0.04
07/29/2021,0.05
07/30/2021,0.05
8/2/2021,0.05
8/3/2021,0.05
8/4/2021,0.05
8/5/2021,0.05
8/6/2021,0.04
8/9/2021,0.04
8/10/2021,0.05
8/11/2021,0.05
8/12/2021,0.05
08/13/2021,0.04
08/16/2021,0.04
08/17/2021,0.03
08/18/2021,0.03
08/19/2021,0.04
08/20/2021,0.04
08/23/2021,0.04
08/24/2021,0.03
08/25/2021,0.04
08/26/2021,0.04
08/27/2021,0.04
08/30/2021,0.04
08/31/2021,0.03
9/1/2021,0.04
9/2/2021,0.05
9/3/2021,0.04
9/7/2021,0.04
9/8/2021,0.05
9/9/2021,0.07
9/10/2021,0.06
09/13/2021,0.06
09/14/2021,0.05
09/15/2021,0.04
09/16/2021,0.06
09/17/2021,0.06
09/20/2021,0.06
09/21/2021,0.05
09/22/2021,0.04
09/23/2021,0.05
09/24/2021,0.06
09/27/2021,0.06
09/28/2021,0.07
09/29/2021,0.05
09/30/2021,0.07
10/1/2021,0.08
10/4/2021,0.1
10/5/2021,0.11
10/6/2021,0.06
10/7/2021,0.03
10/8/2021,0.02
10/12/2021,0.02
10/13/2021,0.02
10/14/2021,0.05
10/15/2021,0.04
10/18/2021,0.04
10/19/2021,0.05
10/20/2021,0.05
10/21/2021,0.06
10/22/2021,0.05
10/25/2021,0.06
10/26/2021,0.06
10/27/2021,0.06
10/28/2021,0.06
10/29/2021,0.06
11/1/2021,0.05
11/2/2021,0.05
11/3/2021,0.05
11/4/2021,0.05
11/5/2021,0.05
11/8/2021,0.04
11/9/2021,0.04
11/10/2021,0.06
11/12/2021,0.05
11/15/2021,0.06
11/16/2021,0.06
11/17/2021,0.06
11/18/2021,0.12
11/19/2021,0.11
11/22/2021,0.07
11/23/2021,0.06
11/24/2021,0.14
11/26/2021,0.11
11/29/2021,0.07
11/30/2021,0.11
12/1/2021,0.1
12/2/2021,0.05
12/3/2021,0.04
12/6/2021,0.05
12/7/2021,0.05
12/8/2021,0.04
12/9/2021,0.03
12/10/2021,0.03
12/13/2021,0.01
12/14/2021,0.01
12/15/2021,0.03
12/16/2021,0.04
12/17/2021,0.03
12/20/2021,0.03
12/21/2021,0.03
12/22/2021,0.03
12/23/2021,0.04
12/27/2021,0.04
12/28/2021,0.03
12/29/2021,0.01
12/30/2021,0.06
12/31/2021,0.06
1/3/2022,0.05
1/4/2022,0.06
1/5/2022,0.05
1/6/2022,0.04
1/7/2022,0.05
1/10/2022,0.05
1/11/2022,0.04
1/12/2022,0.04
01/13/2022,0.05
01/14/2022,0.05
01/18/2022,0.05
01/19/2022,0.05
01/20/2022,0.05
01/21/2022,0.05
01/24/2022,0.05
01/25/2022,0.05
01/26/2022,0.05
01/27/2022,0.04
01/28/2022,0.04
01/31/2022,0.03
2/1/2022,0.04
2/2/2022,0.04
2/3/2022,0.03
2/4/2022,0.05
2/7/2022,0.03
2/8/2022,0.03
2/9/2022,0.03
2/10/2022,0.05
2/11/2022,0.03
02/14/2022,0.03
02/15/2022,0.02
02/16/2022,0.03
02/17/2022,0.06
02/18/2022,0.03
02/22/2022,0.03
02/23/2022,0.02
02/24/2022,0.05
02/25/2022,0.03
02/28/2022,0.06
3/1/2022,0.1
3/2/2022,0.12
3/3/2022,0.19
3/4/2022,0.15
3/7/2022,0.17
3/8/2022,0.15
3/9/2022,0.17
3/10/2022,0.19
3/11/2022,0.17
03/14/2022,0.22
03/15/2022,0.21
03/16/2022,0.23
03/17/2022,0.2
03/18/2022,0.19
03/21/2022,0.21
03/22/2022,0.2
03/23/2022,0.14
03/24/2022,0.16
03/25/2022,0.17
03/28/2022,0.18
03/29/2022,0.17
03/30/2022,0.13
03/31/2022,0.17
4/1/2022,0.15
4/4/2022,0.17
4/5/2022,0.17
4/6/2022,0.19
4/7/2022,0.21
4/8/2022,0.2
4/11/2022,0.21
4/12/2022,0.19
04/13/2022,0.23
04/14/2022,0.37
04/18/2022,0.37
04/19/2022,0.35
04/20/2022,0.33
04/21/2022,0.5
04/22/2022,0.46
04/25/2022,0.39
04/26/2022,0.36
04/27/2022,0.35
04/28/2022,0.37
04/29/2022,0.37
5/2/2022,0.38
5/3/2022,0.44
5/4/2022,0.45
5/5/2022,0.49
5/6/2022,0.48
5/9/2022,0.49
5/10/2022,0.55
5/11/2022,0.56
5/12/2022,0.6
05/13/2022,0.66
05/16/2022,0.62
05/17/2022,0.58
05/18/2022,0.5
05/19/2022,0.65
05/20/2022,0.62
05/23/2022,0.52
05/24/2022,0.51
05/25/2022,0.52
05/26/2022,0.7
05/27/2022,0.68
05/31/2022,0.71
6/1/2022,0.75
6/2/2022,0.84
6/3/2022,0.86
6/6/2022,0.87
6/7/2022,0.85
6/8/2022,0.86
6/9/2022,1.04
6/10/2022,1.09
06/13/2022,1.11
06/14/2022,1.15
06/15/2022,1.16
06/16/2022,1.18
06/17/2022,1.13
06/21/2022,1.04
06/22/2022,0.92
06/23/2022,1.11
06/24/2022,1.18
06/27/2022,1.13
06/28/2022,1.07
06/29/2022,1.06
06/30/2022,1.26
7/1/2022,1.26
7/5/2022,1.27
7/6/2022,1.29
7/7/2022,1.53
7/8/2022,1.55
7/11/2022,1.53
7/12/2022,1.57
07/13/2022,1.68
07/14/2022,1.96
07/15/2022,1.95
07/18/2022,1.91
07/19/2022,1.87
07/20/2022,1.84
07/21/2022,2.12
07/22/2022,2.12
07/25/2022,2.1
07/26/2022,2.12
07/27/2022,2.09
07/28/2022,2.15
07/29/2022,2.16
8/1/2022,2.15
8/2/2022,2.15
8/3/2022,2.14
8/4/2022,2.12
8/5/2022,2.14
8/8/2022,2.14
8/9/2022,2.14
8/10/2022,2.15
8/11/2022,2.17
8/12/2022,2.16
08/15/2022,2.18
08/16/2022,2.16
08/17/2022,2.11
08/18/2022,2.16
08/19/2022,2.16
08/22/2022,2.18
08/23/2022,2.17
08/24/2022,2.17
08/25/2022,2.34
08/26/2022,2.31
08/29/2022,2.35
08/30/2022,2.32
08/31/2022,2.29
9/1/2022,2.46
9/2/2022,2.42
9/6/2022,2.34
9/7/2022,2.18
9/8/2022,2.5
9/9/2022,2.5
9/12/2022,2.54
09/13/2022,2.45
09/14/2022,2.43
09/15/2022,2.68
09/16/2022,2.6
09/19/2022,2.53
09/20/2022,2.47
09/21/2022,2.46
09/22/2022,2.65
09/23/2022,2.59
09/26/2022,2.64
09/27/2022,2.6
09/28/2022,2.5
09/29/2022,2.68
09/30/2022,2.7
10/3/2022,2.75
10/4/2022,2.77
10/5/2022,2.74
10/6/2022,2.94
10/7/2022,2.92
10/11/2022,2.92
10/12/2022,2.91
10/13/2022,3.23
