Date,Pound_USD
3/1/2000,1.6270
4/1/2000,1.6370
5/1/2000,1.6415
6/1/2000,1.6475
7/1/2000,1.6384
10/1/2000,1.6374
11/1/2000,1.6480
12/1/2000,1.6465
13/1/2000,1.6482
14/1/2000,1.6353
17/1/2000,ND
18/1/2000,1.6380
19/1/2000,1.6438
20/1/2000,1.6538
21/1/2000,1.6504
24/1/2000,1.6520
25/1/2000,1.6482
26/1/2000,1.6395
27/1/2000,1.6363
28/1/2000,1.6210
31/1/2000,1.6182
1/2/2000,1.6150
2/2/2000,1.6060
3/2/2000,1.6025
4/2/2000,1.5915
7/2/2000,1.5917
8/2/2000,1.6105
9/2/2000,1.6115
10/2/2000,1.6057
11/2/2000,1.5923
14/2/2000,1.5890
15/2/2000,1.5950
16/2/2000,1.6040
17/2/2000,1.6050
18/2/2000,1.5984
21/2/2000,ND
22/2/2000,1.6165
23/2/2000,1.6047
24/2/2000,1.5981
25/2/2000,1.5908
28/2/2000,1.5935
29/2/2000,1.5780
1/3/2000,1.5849
2/3/2000,1.5765
3/3/2000,1.5810
6/3/2000,1.5732
7/3/2000,1.5772
8/3/2000,1.5855
9/3/2000,1.5815
10/3/2000,1.5793
13/3/2000,1.5782
14/3/2000,1.5725
15/3/2000,1.5730
16/3/2000,1.5747
17/3/2000,1.5705
20/3/2000,1.5686
21/3/2000,1.5725
22/3/2000,1.5705
23/3/2000,1.5830
24/3/2000,1.5910
27/3/2000,1.5855
28/3/2000,1.5872
29/3/2000,1.5870
30/3/2000,1.5922
31/3/2000,1.5922
3/4/2000,1.5980
4/4/2000,1.5965
5/4/2000,1.5900
6/4/2000,1.5800
7/4/2000,1.5830
10/4/2000,1.5828
11/4/2000,1.5873
12/4/2000,1.5882
13/4/2000,1.5881
14/4/2000,1.5860
17/4/2000,1.5853
18/4/2000,1.5764
19/4/2000,1.5777
20/4/2000,1.5801
21/4/2000,1.5785
24/4/2000,1.5800
25/4/2000,1.5787
26/4/2000,1.5795
27/4/2000,1.5748
28/4/2000,1.5560
1/5/2000,1.5558
2/5/2000,1.5590
3/5/2000,1.5605
4/5/2000,1.5435
5/5/2000,1.5288
8/5/2000,1.5310
9/5/2000,1.5315
10/5/2000,1.5153
11/5/2000,1.4997
12/5/2000,1.5172
15/5/2000,1.5075
16/5/2000,1.5008
17/5/2000,1.4905
18/5/2000,1.4818
19/5/2000,1.4855
22/5/2000,1.4907
23/5/2000,1.4728
24/5/2000,1.4755
25/5/2000,1.4705
26/5/2000,1.4875
29/5/2000,ND
30/5/2000,1.4950
31/5/2000,1.4968
1/6/2000,1.4915
2/6/2000,1.5079
5/6/2000,1.5135
6/6/2000,1.5235
7/6/2000,1.5225
8/6/2000,1.5060
9/6/2000,1.5079
12/6/2000,1.5120
13/6/2000,1.5130
14/6/2000,1.5023
15/6/2000,1.5103
16/6/2000,1.5165
19/6/2000,1.5154
20/6/2000,1.5100
21/6/2000,1.4970
22/6/2000,1.5110
23/6/2000,1.5010
26/6/2000,1.4990
27/6/2000,1.5000
28/6/2000,1.5107
29/6/2000,1.5194
30/6/2000,1.5130
3/7/2000,1.5135
4/7/2000,ND
5/7/2000,1.5120
6/7/2000,1.5120
7/7/2000,1.5143
10/7/2000,1.5137
11/7/2000,1.5140
12/7/2000,1.5068
13/7/2000,1.4990
14/7/2000,1.4990
17/7/2000,1.4920
18/7/2000,1.4945
19/7/2000,1.4942
20/7/2000,1.5094
21/7/2000,1.5167
24/7/2000,1.5140
25/7/2000,1.5190
26/7/2000,1.5154
27/7/2000,1.5116
28/7/2000,1.5025
31/7/2000,1.4983
1/8/2000,1.4992
2/8/2000,1.4926
3/8/2000,1.4947
4/8/2000,1.5022
7/8/2000,1.5070
8/8/2000,1.5022
9/8/2000,1.4992
10/8/2000,1.4980
11/8/2000,1.5040
14/8/2000,1.5060
15/8/2000,1.5056
16/8/2000,1.4988
17/8/2000,1.4992
18/8/2000,1.4895
21/8/2000,1.4900
22/8/2000,1.4797
23/8/2000,1.4813
24/8/2000,1.4806
25/8/2000,1.4745
28/8/2000,1.4716
29/8/2000,1.4616
30/8/2000,1.4560
31/8/2000,1.4515
1/9/2000,1.4605
4/9/2000,ND
5/9/2000,1.4522
6/9/2000,1.4455
7/9/2000,1.4380
8/9/2000,1.4196
11/9/2000,1.4123
12/9/2000,1.4020
13/9/2000,1.4125
14/9/2000,1.4060
15/9/2000,1.4005
18/9/2000,1.4015
19/9/2000,1.4080
20/9/2000,1.4107
21/9/2000,1.4280
22/9/2000,1.4568
25/9/2000,1.4540
26/9/2000,1.4600
27/9/2000,1.4607
28/9/2000,1.4635
29/9/2000,1.4787
2/10/2000,1.4675
3/10/2000,1.4565
4/10/2000,1.4558
5/10/2000,1.4502
6/10/2000,1.4445
9/10/2000,ND
10/10/2000,1.4484
11/10/2000,1.4620
12/10/2000,1.4735
13/10/2000,1.4597
16/10/2000,1.4455
17/10/2000,1.4426
18/10/2000,1.4464
19/10/2000,1.4422
20/10/2000,1.4448
23/10/2000,1.4550
24/10/2000,1.4490
25/10/2000,1.4335
26/10/2000,1.4313
27/10/2000,1.4517
30/10/2000,1.4530
31/10/2000,1.4505
1/11/2000,1.4452
2/11/2000,1.4440
3/11/2000,1.4484
6/11/2000,1.4320
7/11/2000,1.4310
8/11/2000,1.4236
9/11/2000,1.4242
10/11/2000,1.4305
13/11/2000,1.4388
14/11/2000,1.4306
15/11/2000,1.4257
16/11/2000,1.4228
17/11/2000,1.4230
20/11/2000,1.4222
21/11/2000,1.4160
22/11/2000,1.4077
23/11/2000,ND
24/11/2000,1.3997
27/11/2000,1.4155
28/11/2000,1.4182
29/11/2000,1.4209
30/11/2000,1.4210
1/12/2000,1.4373
4/12/2000,1.4523
5/12/2000,1.4410
6/12/2000,1.4365
7/12/2000,1.4400
8/12/2000,1.4442
11/12/2000,1.4554
12/12/2000,1.4480
13/12/2000,1.4510
14/12/2000,1.4665
15/12/2000,1.4763
18/12/2000,1.4677
19/12/2000,1.4620
20/12/2000,1.4737
21/12/2000,1.4707
22/12/2000,1.4783
25/12/2000,ND
26/12/2000,1.4800
27/12/2000,1.4912
28/12/2000,1.4907
29/12/2000,1.4955
1/1/2001,ND
2/1/2001,1.4977
3/1/2001,1.5045
4/1/2001,1.4930
5/1/2001,1.4990
8/1/2001,1.4969
9/1/2001,1.4900
10/1/2001,1.4910
11/1/2001,1.4965
12/1/2001,1.4778
15/1/2001,ND
16/1/2001,1.4675
17/1/2001,1.4723
18/1/2001,1.4755
19/1/2001,1.4683
22/1/2001,1.4650
23/1/2001,1.4715
24/1/2001,1.4616
25/1/2001,1.4605
26/1/2001,1.4590
29/1/2001,1.4570
30/1/2001,1.4615
31/1/2001,1.4613
1/2/2001,1.4775
2/2/2001,1.4692
5/2/2001,1.4750
6/2/2001,1.4585
7/2/2001,1.4633
8/2/2001,1.4440
9/2/2001,1.4490
